color,code,group,offset
IndianRed,CD5C5C,reds,1
LightCoral,F08080,reds,2
Salmon,FA8072,reds,3
DarkSalmon,E9967A,reds,4
LightSalmon,FFA07A,reds,5
Crimson,DC143C,reds,6
Red,FF0000,reds,7
FireBrick,B22222,reds,8
DarkRed,8B0000,reds,9
Pink,FFC0CB,pinks,1
LightPink,FFB6C1,pinks,2
HotPink,FF69B4,pinks,3
DeepPink,FF1493,pinks,4
MediumVioletRed,C71585,pinks,5
PaleVioletRed,DB7093,pinks,6
Coral,FF7F50,oranges,1
Tomato,FF6347,oranges,2
OrangeRed,FF4500,oranges,3
DarkOrange,FF8C00,oranges,4
Orange,FFA500,oranges,5
Gold,FFD700,yellows,1
Yellow,FFFF00,yellows,2
LightYellow,FFFFE0,yellows,3
LemonChiffon,FFFACD,yellows,4
LightGoldenrodYellow,FAFAD2,yellows,5
PapayaWhip,FFEFD5,yellows,6
Moccasin,FFE4B5,yellows,7
PeachPuff,FFDAB9,yellows,8
PaleGoldenrod,EEE8AA,yellows,9
Khaki,F0E68C,yellows,10
DarkKhaki,BDB76B,yellows,11
Lavender,E6E6FA,purples,1
Thistle,D8BFD8,purples,2
Plum,DDA0DD,purples,3
Violet,EE82EE,purples,4
Orchid,DA70D6,purples,5
Fuchsia,FF00FF,purples,6
Magenta,FF00FF,purples,7
MediumOrchid,BA55D3,purples,8
MediumPurple,9370DB,purples,9
BlueViolet,8A2BE2,purples,10
DarkViolet,9400D3,purples,11
DarkOrchid,9932CC,purples,12
DarkMagenta,8B008B,purples,13
Purple,800080,purples,14
RebeccaPurple,663399,purples,15
Indigo,4B0082,purples,16
MediumSlateBlue,7B68EE,purples,17
SlateBlue,6A5ACD,purples,18
DarkSlateBlue,483D8B,purples,19
GreenYellow,ADFF2F,greens,1
Chartreuse,7FFF00,greens,2
LawnGreen,7CFC00,greens,3
Lime,00FF00,greens,4
LimeGreen,32CD32,greens,5
PaleGreen,98FB98,greens,6
LightGreen,90EE90,greens,7
MediumSpringGreen,00FA9A,greens,8
SpringGreen,00FF7F,greens,9
MediumSeaGreen,3CB371,greens,10
SeaGreen,2E8B57,greens,11
ForestGreen,228B22,greens,12
Green,008000,greens,13
DarkGreen,006400,greens,14
YellowGreen,9ACD32,greens,15
OliveDrab,6B8E23,greens,16
Olive,808000,greens,17
DarkOliveGreen,556B2F,greens,18
MediumAquamarine,66CDAA,greens,19
DarkSeaGreen,8FBC8F,greens,20
LightSeaGreen,20B2AA,greens,21
DarkCyan,008B8B,greens,22
Teal,008080,greens,23
Aqua,00FFFF,blues/cyans,1
Cyan,00FFFF,blues/cyans,2
LightCyan,E0FFFF,blues/cyans,3
PaleTurquoise,AFEEEE,blues/cyans,4
Aquamarine,7FFFD4,blues/cyans,5
Turquoise,40E0D0,blues/cyans,6
MediumTurquoise,48D1CC,blues/cyans,7
DarkTurquoise,00CED1,blues/cyans,8
CadetBlue,5F9EA0,blues/cyans,9
SteelBlue,4682B4,blues/cyans,10
LightSteelBlue,B0C4DE,blues/cyans,11
PowderBlue,B0E0E6,blues/cyans,12
LightBlue,ADD8E6,blues/cyans,13
SkyBlue,87CEEB,blues/cyans,14
LightSkyBlue,87CEFA,blues/cyans,15
DeepSkyBlue,00BFFF,blues/cyans,16
DodgerBlue,1E90FF,blues/cyans,17
CornflowerBlue,6495ED,blues/cyans,18
RoyalBlue,4169E1,blues/cyans,19
Blue,0000FF,blues/cyans,20
MediumBlue,0000CD,blues/cyans,21
DarkBlue,00008B,blues/cyans,22
Navy,000080,blues/cyans,23
MidnightBlue,191970,blues/cyans,24
Cornsilk,FFF8DC,browns,1
BlanchedAlmond,FFEBCD,browns,2
Bisque,FFE4C4,browns,3
NavajoWhite,FFDEAD,browns,4
Wheat,F5DEB3,browns,5
BurlyWood,DEB887,browns,6
Tan,D2B48C,browns,7
RosyBrown,BC8F8F,browns,8
SandyBrown,F4A460,browns,9
Goldenrod,DAA520,browns,10
DarkGoldenrod,B8860B,browns,11
Peru,CD853F,browns,12
Chocolate,D2691E,browns,13
SaddleBrown,8B4513,browns,14
Sienna,A0522D,browns,15
Brown,A52A2A,browns,16
Maroon,800000,browns,17
White,FFFFFF,whites,1
Snow,FFFAFA,whites,2
Honeydew,F0FFF0,whites,3
MintCream,F5FFFA,whites,4
Azure,F0FFFF,whites,5
AliceBlue,F0F8FF,whites,6
GhostWhite,F8F8FF,whites,7
WhiteSmoke,F5F5F5,whites,8
Seashell,FFF5EE,whites,9
Beige,F5F5DC,whites,10
OldLace,FDF5E6,whites,11
FloralWhite,FFFAF0,whites,12
Ivory,FFFFF0,whites,13
AntiqueWhite,FAEBD7,whites,14
Linen,FAF0E6,whites,15
LavenderBlush,FFF0F5,whites,16
MistyRose,FFE4E1,whites,17
Gainsboro,DCDCDC,greys,1
LightGrey,D3D3D3,greys,3
Silver,C0C0C0,greys,4
DarkGrey,A9A9A9,greys,6
Grey,808080,greys,8
DimGrey,696969,greys,10
LightSlateGrey,778899,greys,12
SlateGrey,708090,greys,14
DarkSlateGrey,2F4F4F,greys,16